tenta = 0     247 50 4 1 4 8 8 10 |0| 78.2% | poid actuel :400.4  | max :512.0 | SN/ECHEC
tenta = 0     295 50 4 1 10 10 10 10 |0| 89.84% | poid actuel :460.0  | max :512.0 SN/ECHE
tenta = 0     295 49 4 1 10 10 10 10 |0| 91.41% | poid actuel :468.0  | max :512.0 SC
#déjà noter
 tenta = 1     296 48 4 1 10 10 10 10 |tenta_po =1 |0| 89.1% | poid actuel :456.2  | max :512.0 | SN/ECHEC 

 tenta = 1     296 48 0 1 10 9 10 10 |tenta_po =1 |0| 80.31% | poid actuel :411.2  | max :512.0 | SN/ECHEC 
#déjà noter
 tenta = 1     295 47 4 1 0 9 9 10 |tenta_po =1 |0| 76.95% | poid actuel :394.0  | max :512.0 | SN/ECHEC 
tenta = 0     300 47 4 1 6 0 8 10 |tenta_po =1 |0| 73.24% | poid actuel :375.0  | max :512.0 | SN/ECHEC 
tenta = 0     300 48 4 1 10 9 9 10 |tenta_po =1 |0| 87.3% | poid actuel :447.0  | max :512.0 | SN/ECHEC 
tenta = 0     291 50 4 1 10 10 10 10 |tenta_po =1 |0| 89.69% | poid actuel :459.2  | max :512.0 | SN/ECHEC 
tenta = 0     291 50 4 1 10 2 10 9 |tenta_po =1 |0| 80.7% | poid actuel :413.2  | max :512.0 | SN/ECHEC 
#déjà noter
tenta = 0     294 50 4 1 10 9 9 10 |tenta_po =1 |0| 87.85% | poid actuel :449.8  | max :512.0 | SC 

 tenta = 1     274 49 3 1 10 9 9 7 |tenta_po =1 |0| 81.21% | poid actuel :415.8  | max :512.0 | SC 

 tenta = 1     264 47 3 1 6 6 6 7 |tenta_po =1 |0| 70.27% | poid actuel :359.8  | max :512.0 | SN/ECHEC 

 tenta = 1     294 47 4 1 6 6 6 8 |tenta_po =1 |0| 74.57% | poid actuel :381.8  | max :512.0 | SN/ECHEC 
tenta = 2     297 50 4 1 6 7 6 10 |tenta_po =1 |0| 79.18% | poid actuel :405.4  | max :512.0 | SN/ECHEC 
